City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tralee,52.2704,-9.7026,44.56,88,100,8.34,IE,1706320530
1,bethel,41.3712,-73.414,42.94,87,100,3.44,US,1706320234
2,puerto natales,-51.7236,-72.4875,46.6,70,100,13.27,CL,1706320530
3,chibougamau,49.9168,-74.3659,26.22,93,100,0.0,CA,1706320245
4,vila franca do campo,37.7167,-25.4333,64.89,99,100,15.57,PT,1706320531
5,marsala,37.7966,12.4352,53.92,87,0,4.61,IT,1706320531
6,usinsk,65.9939,57.5281,15.08,95,99,13.0,RU,1706320531
7,ushuaia,-54.8,-68.3,55.06,76,75,6.91,AR,1706320285
8,longyearbyen,78.2186,15.6401,30.04,64,0,17.27,SJ,1706320531
9,callao,-12.0667,-77.15,81.72,78,0,12.66,PE,1706320300
10,huainan,32.6264,116.9969,40.35,41,46,5.5,CN,1706320531
11,tiksi,71.6872,128.8694,-17.36,97,100,10.74,RU,1706320267
12,waitangi,-43.9535,-176.5597,64.81,79,47,5.01,NZ,1706320532
13,port mathurin,-19.6833,63.4167,81.7,81,100,3.78,MU,1706320532
14,aasiaat,68.7098,-52.8699,-17.23,99,100,5.68,GL,1706320532
15,muar,2.0442,102.5689,83.03,80,65,12.86,MY,1706320532
16,pekan,3.4836,103.3996,78.91,87,49,12.8,MY,1706320532
17,blackmans bay,-43.0167,147.3167,68.13,65,34,15.21,AU,1706320532
18,berdigestyakh,62.0989,126.6992,-19.25,97,100,7.05,RU,1706320532
19,bredasdorp,-34.5322,20.0403,66.47,90,55,4.21,ZA,1706320532
20,tazovsky,67.4667,78.7,0.93,95,100,6.53,RU,1706320533
21,albany,42.6001,-73.9662,39.63,85,100,1.01,US,1706320234
22,alofi,-19.0595,-169.9187,81.48,84,59,19.6,NU,1706320279
23,port-aux-francais,-49.35,70.2167,45.48,91,100,33.44,TF,1706320533
24,malabar,-33.9667,151.25,73.13,78,75,4.61,AU,1706320533
25,nemuro,43.3236,145.575,31.17,73,27,19.53,JP,1706320534
26,adamstown,-25.066,-130.1015,76.24,71,100,6.26,PN,1706320534
27,onega,63.9061,38.1404,6.93,100,100,3.67,RU,1706320534
28,weno,7.4515,151.8468,80.94,74,100,13.78,FM,1706320534
29,grytviken,-54.2811,-36.5092,37.26,95,100,3.83,GS,1706320534
30,avarua,-21.2078,-159.775,84.25,84,100,4.61,CK,1706320534
31,libenge,3.65,18.6333,71.06,39,12,4.16,CD,1706320535
32,arraial do cabo,-22.9661,-42.0278,74.7,89,6,19.84,BR,1706320535
33,quellon,-43.1167,-73.6167,59.99,83,100,5.19,CL,1706320535
34,severo-yeniseyskiy,60.3725,93.0408,3.0,96,100,4.36,RU,1706320535
35,puerto ayora,-0.7393,-90.3518,78.55,95,62,1.99,EC,1706320535
36,urucara,-2.5364,-57.76,76.21,96,100,1.01,BR,1706320535
37,hachinohe,40.5,141.5,39.38,65,75,13.8,JP,1706320535
